window|hide layer 1|hyde layer 2|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
3|3|1|2,047368|10,478852|16,193172|16,513637|18,152298|12,009955|15,799364|17,160425|18,152298
3|3|2|1,516294|4,971962|7,294046|7,833348|8,632912|12,164923|17,715061|17,713492|8,632912
3|3|3|1,552609|5,139023|7,442078|7,981438|8,733766|12,308832|20,179001|20,254029|8,733766
3|3|4|1,541282|5,767965|7,926754|8,469623|9,096608|12,351413|18,279719|20,373627|9,096608
3|3|5|1,539743|4,893274|6,927438|7,473918|8,180897|12,148348|17,212663|17,432831|8,180897
3|3|6|1,568528|4,580268|6,243200|6,784554|7,388455|12,060473|15,615497|15,378976|7,388455
3|3|7|1,547562|4,757908|6,656675|7,194181|7,827361|12,172537|16,979103|16,866171|7,827361
3|3|8|1,493974|5,139572|7,783308|8,310775|9,110319|12,142538|17,741382|18,035997|9,110319
3|3|9|1,500982|3,741675|4,080036|4,638819|4,999146|11,891282|12,877499|11,798105|4,999146
3|3|10|1,501254|4,731208|6,507464|7,065450|7,681594|12,144951|16,701778|16,782523|7,681594
3|3|11|1,518530|5,148983|7,210485|7,751473|8,539418|12,109110|16,633257|16,943952|8,539418
3|3|12|1,554390|5,203301|7,023713|7,577646|8,205559|12,139535|16,565431|17,220343|8,205559
3|3|13|1,479339|4,557681|6,546094|7,097585|7,804230|12,122123|17,169065|16,682586|7,804230
3|3|14|1,554140|5,274646|8,225052|8,734578|9,528245|12,058126|16,054540|16,677293|9,528245
