rate|momentum|alpha|teach error|predic error 30%|10 values|5 |1|predic error 30%|10 values|5 |1
0,3|0|3,1|2,136592|11,968394|14,757555|15,267691|17,008678|11,963810|15,488246|16,616738|17,008678
0,3|0|3,2|2,410002|10,339283|8,609452|9,259186|10,252025|14,775113|12,574831|12,679656|10,252025
0,3|0|3,3|2,261900|13,024587|15,597715|16,117096|17,560928|12,988442|15,385573|16,420592|17,560928
0,3|0|3,4|2,230794|11,678744|12,858280|13,495299|14,768714|29,918042|14,884244|14,676376|14,768714
0,3|0|3,5|2,287211|12,218514|13,909846|14,491183|15,738966|12,442911|14,902512|15,976689|15,738966
0,3|0|3,6|2,119010|12,127529|15,956885|16,458161|18,170144|18,195815|15,308403|15,359626|18,170144
0,3|0|3,7|367,793889|28,142009|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|3,8|2,470706|12,118375|15,124036|15,654790|17,230849|12,097546|15,268924|15,691425|17,230849
0,3|0|3,9|373,013934|28,142009|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|4|374,713769|28,142009|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|4,1|369,515940|28,142009|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|4,2|391,125965|29,686463|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|4,3|379,265884|28,203357|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|4,4|408,407458|32,899347|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|4,5|368,324263|28,142009|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|4,6|721,241777|87,536855|73,128547|72,603007|70,890000|87,536855|73,128547|72,603007|70,890000
0,3|0|4,7|383,893159|28,203357|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|4,8|382,847543|28,203357|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
0,3|0|4,9|373,106561|28,142009|39,118850|39,636837|41,330000|28,142009|39,118850|39,636837|41,330000
